"","idencuesta","estrato","estrato_name","cod_zona","ola_w03","ola_w06","pct_hacinamiento","pct_viv_precaria","pct_desempleo","low_educ","high_educ","youth_nini","teen_pregnancy","pop_density","pct_migrant","insecurity","comuna","nse_barrio","nse_barrio_norm"
"1",1101011,4,"Big cities","1101021003",1,1,0.164864864864865,0.27027027027027,0.0844062947067239,0.548843794242567,0.022180273714016,0.253303964757709,0.0822784810126582,2028.78847339799,0.0915371329879102,0.551107289857143,1101,-3.14769194598359,0.17570038119405
"2",1101012,4,"Big cities","1101021003",1,1,0.164864864864865,0.27027027027027,0.0844062947067239,0.548843794242567,0.022180273714016,0.253303964757709,0.0822784810126582,2028.78847339799,0.0915371329879102,0.551107289857143,1101,-3.14769194598359,0.17570038119405
"3",1101023,4,"Big cities","1101031002",1,1,0.0972222222222222,0.280753968253968,0.080957810718358,0.376844494892168,0.105561861520999,0.197701149425287,0.0718954248366013,14144.147729534,0.110298255486775,0.568969419741379,1101,-1.16904226371293,0.365105265042643
"4",1101032,4,"Big cities","1101031004",1,1,0.0374732334047109,0.0385438972162741,0.0386702849389417,0.195156031672101,0.242664182580345,0.114058355437666,0.0432432432432432,11506.8590081101,0.0300973738565949,0.508844018333333,1101,2.76538123693205,0.741725256356951
"5",1101041,4,"Big cities","1101041004",1,1,0.171650717703349,0.223086124401914,0.0890336590662324,0.43028732925106,0.0666509656146962,0.226582278481013,0.0588235294117647,33086.0014021968,0.145329330743422,0.576444633611111,1101,-2.13080977231909,0.273040729875481
"6",1101081,4,"Big cities","1101061002",1,1,0.0831643002028398,0.13184584178499,0.0736196319018405,0.277131258457375,0.21786197564276,0.188191881918819,0.0352941176470588,17579.3788980853,0.0574784980071324,0.549581117734375,1101,0.721058487400832,0.546033863184388
"7",1101082,4,"Big cities","1101061002",1,1,0.0831643002028398,0.13184584178499,0.0736196319018405,0.277131258457375,0.21786197564276,0.188191881918819,0.0352941176470588,17579.3788980853,0.0574784980071324,0.549581117734375,1101,0.721058487400832,0.546033863184388
"8",1101102,4,"Big cities","1101071003",1,1,0.139393939393939,0.196536796536797,0.0712881022615536,0.302736982643525,0.157543391188251,0.197938144329897,0.104046242774566,16769.5878771953,0.11491250979368,0.5538828207,1101,-1.11496384501241,0.370281884584983
"9",1101103,4,"Big cities","1101071003",1,1,0.139393939393939,0.196536796536797,0.0712881022615536,0.302736982643525,0.157543391188251,0.197938144329897,0.104046242774566,16769.5878771953,0.11491250979368,0.5538828207,1101,-1.11496384501241,0.370281884584983
"10",1101111,4,"Big cities","1101081002",1,1,0.20281124497992,0.323293172690763,0.079610538373425,0.376399655469423,0.0572782084409991,0.244239631336406,0.0797101449275362,18286.1990950226,0.272193009588617,0.614044199,1101,-2.80794573475334,0.208222354261167
